"id","age","year","wrkstat","hrs1","marital","degree","sphrs1","postlife","sex","SIBS","agekdbrn","othlang","born","neisafe","hsbio","hschem","natspac","nextgen","grass","hrlax","colsci","fmi","numpets","trust","tvhours","sop","ssi","sphrs2","educ","moos","faos","realrinc","wordsum","rhs","Male","pres"
702,69,2018,"retired",NA,"divorced","high school",NA,"yes","female",3,19,"no","yes","very safe",NA,NA,NA,NA,"not legal",NA,NA,14755,1,"can't be too careful",NA,NA,NA,NA,13,32,NA,NA,NA,NA,"female",38
832,69,2018,"retired",NA,"divorced","high school",NA,NA,"male",1,32,"no","yes","very safe",NA,NA,NA,NA,"legal",NA,NA,20430,0,"can't be too careful",NA,39,67,NA,13,22,51,NA,NA,NA,"male",46
912,69,2018,"retired",NA,"widowed","high school",NA,"yes","male",14,19,"no","yes","very unsafe","no","yes",NA,"strongly agree",NA,NA,"no",10782,NA,NA,2,NA,NA,NA,14,25,38,10782,3,NA,"male",33
919,69,2018,"retired",NA,"divorced","junior college",NA,"yes","male",1,26,"no","yes","somewhat safe",NA,NA,"about right",NA,"not legal",NA,NA,30645,1,"can't be too careful",NA,NA,NA,NA,14,21,28,NA,NA,"good","male",28
1049,69,2018,"retired",NA,"widowed","lt high school",NA,"yes","male",7,NA,"no","yes","somewhat safe",NA,NA,NA,NA,"legal",NA,NA,5107,1,"can't be too careful",NA,NA,NA,NA,11,25,43,NA,NA,NA,"male",33
1116,69,2018,"retired",NA,"never married","graduate",NA,"yes","female",2,NA,"no","yes","very safe",NA,NA,NA,NA,NA,NA,NA,119879,1,"can trust",2,NA,NA,NA,18,31,50,NA,7,NA,"female",61
1179,69,2018,"retired",NA,"never married","high school",NA,NA,"male",3,NA,"no","yes","somewhat safe",NA,NA,"too little",NA,"legal",NA,NA,14755,0,"can't be too careful",NA,NA,NA,NA,12,40,45,NA,NA,"fair","male",40
1264,69,2018,"retired",NA,"married","bachelor",NA,"no","male",1,NA,"no","yes","very safe",NA,NA,NA,NA,"not legal",NA,NA,37455,0,"can trust",NA,47,57,NA,16,64,38,NA,NA,NA,"male",46
1308,69,2018,"retired",NA,"widowed","high school",NA,"yes","male",3,21,"no","yes","very safe",NA,NA,NA,NA,"legal",NA,NA,5107,1,"can trust",3,NA,NA,NA,12,NA,31,NA,6,NA,"male",31
1335,69,2018,"retired",NA,"married","graduate",NA,"yes","male",2,26,"no","yes","very safe",NA,NA,NA,NA,"legal",NA,NA,54480,0,"can trust",2,48,28,NA,18,31,72,NA,6,NA,"male",53
1379,69,2018,"retired",NA,"divorced","high school",NA,"yes","female",1,21,"no","yes","somewhat unsafe",NA,NA,"too much",NA,NA,NA,NA,30645,1,"can trust",NA,NA,NA,NA,13,NA,46,NA,NA,"fair","female",40
1399,69,2018,"retired",NA,"married","high school",NA,"yes","female",NA,17,"yes","no","somewhat safe",NA,NA,"too much",NA,"not legal",NA,NA,NA,0,"can't be too careful",NA,73,86,NA,12,NA,NA,NA,NA,"excellent","female",NA
1527,69,2018,"retired",NA,"married","high school",NA,"yes","female",2,16,"no","yes","somewhat safe",NA,NA,NA,NA,"legal",NA,NA,4086,9,"can trust",NA,38,28,NA,10,61,38,NA,NA,NA,"female",53
1614,69,2018,"retired",NA,"married","high school",22,"yes","female",1,20,"no","yes","very safe","yes","yes",NA,"agree",NA,NA,"yes",24970,NA,NA,2,36,28,NA,12,45,34,NA,7,NA,"female",25
1674,69,2018,"retired",NA,"divorced","graduate",NA,"yes","male",1,30,"no","yes","very safe",NA,NA,"about right",NA,"not legal",NA,NA,54480,0,"can't be too careful",NA,64,84,NA,19,31,43,NA,NA,"good","male",71
1676,69,2018,"retired",NA,"divorced","bachelor",NA,"yes","male",1,28,"no","yes","very safe","yes","yes","about right","agree","legal",NA,"yes",12485,NA,"can't be too careful",3,NA,NA,NA,16,35,40,NA,5,"excellent","male",25
2018,69,2018,"retired",NA,"married","high school",50,"yes","male",2,20,"no","yes","very safe",NA,NA,NA,NA,"not legal",NA,NA,30645,3,"can trust",NA,60,76,NA,15,45,53,NA,NA,NA,"male",44
2046,69,2018,"retired",NA,"widowed","high school",NA,"yes","female",3,17,"no","yes","very safe",NA,NA,NA,NA,"legal",NA,NA,24970,18,"depends",NA,NA,NA,NA,16,NA,40,NA,NA,NA,"female",53
2146,69,2018,"retired",NA,"widowed","high school",NA,NA,"male",8,NA,"no","yes","very safe",NA,NA,NA,NA,"legal",NA,NA,10782,0,"can't be too careful",NA,NA,NA,NA,14,NA,35,NA,NA,NA,"male",37
1209,69,2018,"school",NA,"divorced","high school",NA,"yes","male",0,32,"no","yes","somewhat unsafe","no","yes",NA,"strongly agree",NA,NA,"no",5107,NA,NA,3,NA,NA,NA,12,NA,35,NA,3,NA,"male",35
910,69,2018,"other",NA,"divorced","graduate",NA,NA,"female",7,NA,"yes","yes","very unsafe",NA,NA,NA,NA,"legal",NA,NA,17025,0,"can't be too careful",NA,NA,NA,NA,20,57,49,NA,NA,NA,"female",60
921,69,2018,"other",NA,"widowed","bachelor",NA,"yes","female",6,20,"no","yes","somewhat safe",NA,NA,NA,NA,"not legal",NA,NA,NA,3,"can trust",NA,NA,NA,NA,20,24,28,NA,NA,NA,"female",64
1525,69,2018,"other",NA,"married","lt high school",NA,"yes","female",10,19,"no","yes","somewhat safe",NA,NA,NA,"disagree","legal",NA,"no",NA,NA,"can't be too careful",2,50,57,NA,0,NA,25,NA,0,"fair","female",25
1690,69,2018,"other",NA,"widowed","bachelor",NA,"yes","male",4,34,"no","yes","very safe","yes","yes",NA,"agree",NA,NA,"no",NA,NA,NA,6,NA,NA,NA,18,NA,45,NA,7,"fair","male",NA
2236,70,2018,"working parttime",72,"divorced","high school",NA,"yes","male",2,21,"yes","yes","very safe","no","yes","about right","strongly agree","legal",8,"no",10782,NA,"can't be too careful",1,NA,NA,NA,10,36,35,NA,5,"good","male",34
360,70,2018,"working fulltime",60,"separated","high school",NA,NA,"male",2,NA,"no","yes","very safe",NA,NA,"about right",NA,NA,2,NA,45400,0,"can't be too careful",NA,NA,NA,NA,12,NA,33,24970,NA,"good","male",31
782,70,2018,"working fulltime",50,"widowed","high school",NA,"yes","male",4,NA,"no","yes","somewhat safe",NA,NA,NA,NA,"not legal",3,NA,14755,0,"can trust",2,NA,NA,NA,14,47,47,NA,5,NA,"male",39
115,70,2018,"working fulltime",40,"married","bachelor",60,"no","male",1,31,"yes","yes","very safe",NA,NA,NA,NA,"legal",5,NA,119879,0,"can trust",2,74,84,NA,16,32,49,63560,10,NA,"male",31
367,70,2018,"working fulltime",40,"never married","graduate",NA,NA,"female",1,NA,"yes","yes","very safe","yes","yes",NA,"strongly agree",NA,2,"yes",63560,NA,NA,0,NA,NA,NA,16,55,47,63560,10,"excellent","female",74
470,70,2018,"working fulltime",40,"divorced","high school",NA,"no","female",0,30,"no","yes","very safe","yes","yes","about right","agree","legal",12,"yes",14755,NA,"can't be too careful",4,NA,NA,NA,14,59,NA,14755,5,"excellent","female",47
